"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,State/Territory1,Number of individuals,Number of individuals with private health insurance,"Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Net medical expenses over the threshold amount tax offset
no.","Net medical expenses over the threshold amount tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Termination payment tax offset
no.","Termination payment tax offset
$"
3987,VIC,825,313,810,"35,405,220",642,"6,175,735",543,"463,539",9,"10,119",578,"6,338,472",12,"41,200",612,"29,537,743",172,"534,008",14,"188,309",21,"161,282",69,"405,357",45,"435,665",9,"80,531",4,"87,020",421,"545,461",80,"21,339",145,"404,597",145,"173,351",819,"38,130,239",238,"700,682",74,"164,400",489,"141,398",29,"42,957",416,"387,387",7,"1,239",19,"8,210",9,"42,596",277,"42,242",370,"105,098",649,"1,898,699",31,"484,852",53,"303,030",58,"816,459",143,"1,973,891",32,"5,641",8,"172,186",6,"253,420",7,"32,691",25,"487,870",19,"133,157",36,"1,921,114",37,"441,651",22,"56,951",15,"29,475",13,136,104,"1,186,213",83,"678,939",36,"83,938",102,"549,219",40,"287,494",65,"-413,377",105,"-125,883",38,"33,404",2,"17,335",17,"214,163",29,"44,849",17,"1,111,681",75,"4,303,477",90,"5,415,158",87,"3,801,290",18,"258,724",77,"1,386,146",93,"1,644,870",48,"174,138",8,"13,287",9,"4,642",461,"153,195",62,"24,954",22,"37,173"
3988,VIC,651,270,643,"26,075,255",480,"4,805,909",384,"343,345",7,"9,458",413,"4,720,965",8,"26,570",419,"17,757,188",93,"253,428",5,"34,247",11,"116,546",37,"258,196",39,"364,083",6,"17,105",8,"139,453",374,"637,032",117,"84,841",175,"483,219",175,"207,053",650,"27,769,307",112,"257,031",33,"80,632",255,"67,217",14,"34,928",238,"211,481",7,"7,169",19,"28,230",11,"44,648",150,"44,183",212,"44,495",429,"1,363,719",20,"372,046",39,"340,248",165,"3,030,651",174,"1,640,983",68,"121,366",2,"23,584",8,"206,162",11,"67,023",33,"127,550",21,"13,507",48,"2,632,840",68,"582,274",27,"204,877",25,"198,326",22,"19,978",56,"713,970",40,"358,493",17,"33,295",61,"329,158",26,"152,506",37,"-159,482",63,"-6,976",24,"4,500",6,"28,686",32,"472,931",30,"70,774",27,"3,722,465",46,"10,419,709",69,"14,142,174",69,"12,176,379",30,"-109,965",48,"2,017,843",74,"1,907,878",30,"731,690",8,"12,279",13,"8,473",339,"112,163",62,"26,436",12,"15,224"
3990,VIC,90,48,86,"3,624,035",58,"725,085",49,"48,548",4,"11,580",51,"729,620",0,0,44,"2,033,722",9,"6,226",1,"3,964",0,0,2,"24,839",7,"89,533",2,"27,363",0,0,64,"138,907",19,"12,134",30,"226,034",30,"96,865",89,"3,759,657",11,"24,405",4,"6,132",31,"9,138",3,"9,096",29,"29,638",0,0,3,956,2,"7,065",23,"4,152",34,"13,716",53,"114,280",5,"155,982",3,"19,919",22,"27,849",26,"102,640",9,"1,655",0,0,1,"1,809",2,"10,221",7,"412,182",5,"148,429",13,"1,378,688",12,"1,117,804",8,"19,259",6,648,4,97,20,"323,501",13,"131,332",1,208,20,"110,815",10,"111,316",11,"-30,170",21,"81,146",5,208,1,124,0,0,5,"8,494",8,"412,718",16,"602,422",21,"1,015,140",20,"729,224",8,"-3,651",16,"237,749",21,"234,098",10,"53,810",2,"1,543",2,"2,231",34,"12,401",5,"1,431",3,"24,529"
3991,VIC,206,64,205,"6,656,399",150,"898,040",119,"80,376",1,592,127,"894,535",4,"10,149",126,"5,131,663",29,"61,732",3,"1,379",2,"5,041",17,"111,495",13,"155,824",1,"4,879",1,"52,399",108,"170,328",36,"35,175",48,"47,312",48,"20,269",205,"7,062,960",45,"112,994",19,"51,065",99,"31,829",6,"12,711",86,"75,970",0,0,5,"2,296",1,198,73,"13,800",80,"23,662",147,"406,561",7,"120,705",7,"48,730",23,"61,041",54,"325,765",8,"1,759",1,862,0,0,6,"158,902",9,"15,618",4,336,15,"333,012",11,"701,218",7,358,7,358,8,120,18,"135,513",10,"51,675",3,"4,570",17,"90,262",8,"34,060",10,"-45,054",18,"-10,994",8,"8,631",1,"10,033",4,"62,600",8,"19,436",8,"1,859,409",24,"1,317,991",32,"3,177,400",29,"2,471,937",8,"160,526",23,"539,457",31,"699,983",16,"68,387",1,731,2,713,123,"42,114",23,"9,390",2,201
3992,VIC,383,103,381,"14,263,014",290,"2,162,237",234,"176,902",8,"7,493",245,"2,102,572",6,"17,460",276,"10,797,534",91,"127,784",2,"8,931",4,"60,118",41,"258,181",17,"190,043",1,"25,250",3,"49,074",210,"326,545",50,"69,628",74,"121,970",74,"52,301",382,"15,090,287",114,"270,260",38,"47,004",198,"58,111",15,"28,204",181,"161,793",0,0,11,"2,727",4,"8,490",155,"22,298",159,"37,290",294,"762,727",20,"321,141",20,"80,026",46,"1,409,195",65,"600,051",14,"4,346",5,"77,804",3,"19,800",9,"47,609",14,"192,105",7,"33,258",17,"398,016",16,"133,715",18,"17,414",14,"7,344",10,742,32,"278,449",30,"209,405",13,"18,965",35,"161,414",10,"26,717",25,"-138,052",35,"-111,335",21,"12,287",3,"2,671",5,"85,247",18,"41,303",10,"1,645,018",39,"2,809,019",47,"4,454,037",46,"3,601,287",10,"147,148",40,"699,758",48,"846,906",22,"129,179",3,"5,589",2,772,219,"70,726",26,"11,116",5,"19,159"
3995,VIC,"4,900","1,421","4,863","223,738,916","3,764","45,703,757","3,077","2,880,298",50,"66,783","3,276","45,696,272",90,"269,259","3,543","144,063,318","1,127","2,103,970",61,"825,973",90,"850,499",542,"3,174,777",350,"3,660,843",83,"1,037,666",69,"1,510,707","2,752","4,910,512",526,"360,591","1,049","17,956,290","1,048","7,696,410","4,885","234,392,872","1,441","3,066,334",386,"536,306","2,701","775,557",201,"370,346","2,535","2,187,888",38,"18,286",206,"131,426",82,"191,729","2,234","498,530","2,314","616,698","3,902","10,036,277",281,"4,891,369",393,"2,750,964",178,"989,775",797,"14,329,794",244,"437,672",84,"1,955,996",17,"370,473",37,"307,373",228,"16,678,324",159,"6,791,664",275,"36,098,768",308,"5,676,718",220,"703,309",191,"274,701",176,"136,905",573,"7,060,944",439,"3,512,189",201,"427,293",575,"3,476,565",223,"1,645,203",359,"-2,000,306",582,"-355,103",289,"248,294",26,"299,229",88,"1,279,531",189,"353,495",48,"3,664,916",483,"28,463,482",517,"32,128,398",503,"23,474,105",49,"-37,391",488,"8,361,100",522,"8,323,709",268,"1,191,687",95,"230,818",77,"53,573","2,924","1,004,963",455,"196,343",120,"693,022"
3996,VIC,"2,796","1,428","2,772","128,950,311","2,075","25,535,929","1,729","1,683,386",36,"45,153","1,808","25,390,078",60,"207,161","1,795","84,880,320",519,"1,255,903",26,"172,211",47,"297,400",212,"1,317,851",237,"2,370,592",58,"853,907",65,"1,672,687","1,784","8,756,003",446,"521,512",879,"5,610,137",878,"2,404,056","2,790","137,212,464",770,"1,848,796",207,"255,651","1,178","339,905",84,"171,078","1,286","1,480,231",25,"13,287",156,"259,513",109,"380,617","1,185","443,203","1,282","470,036","2,093","7,421,816",195,"3,291,664",274,"2,293,277",145,"1,825,488",568,"11,587,025",217,"543,742",39,"739,645",5,"110,215",35,"406,277",208,"2,610,906",137,"522,486",280,"6,788,350",296,"8,703,727",202,"1,249,239",176,"576,559",161,"266,905",437,"6,053,214",305,"2,796,549",132,"371,493",444,"2,871,747",207,"1,531,914",238,"-1,518,486",445,"13,428",143,"311,849",23,"105,335",74,"1,463,789",121,"287,065",35,"2,747,587",336,"41,626,892",366,"44,374,479",351,"37,320,004",32,"-38,201",339,"6,861,582",365,"6,823,381",186,"1,252,958",80,"211,185",57,"40,960","1,394","465,827",288,"121,064",60,"325,931"
VIC other,VIC,"13,904","6,380","13,379","821,294,825","10,387","220,969,596","7,234","8,296,421",307,"583,755","9,589","218,047,998",289,"1,156,590","8,500","526,682,408","2,363","45,600,668",146,"2,465,752",187,"8,359,584",603,"3,717,565",597,"5,979,828",138,"2,206,582",181,"4,406,767","6,421","13,644,987","1,359","1,523,076","2,944","26,536,740","2,940","11,370,724","13,555","860,962,682","2,467","6,750,652",939,"2,248,587","4,655","1,304,542",364,"997,859","5,002","5,608,534",248,"142,288",393,"1,201,826",269,"1,953,800","3,535","2,998,124","5,633","3,556,302","9,204","34,842,114","1,395","60,629,714","1,175","10,246,778",671,"8,839,242","2,671","79,402,587",806,"3,628,030",65,"1,861,914",62,"1,058,649",136,"1,891,526",890,"19,303,424",646,"6,034,883","1,218","45,665,460","1,431","54,536,376",839,"19,500,683",681,"3,316,794",697,"5,842,850","3,458","81,695,123","2,747","38,990,840","1,614","5,826,370","3,460","38,310,823","1,613","16,965,116","1,883","-18,398,026","3,496","-1,432,910","1,094","1,327,077",177,"521,287",279,"5,656,177",726,"2,390,889",181,"13,552,934",882,"92,091,085","1,121","122,363,152","1,077","89,199,977",200,"-1,967,192",895,"20,939,843","1,163","31,172,289",584,"10,458,845",185,"515,782",219,"219,038","5,254","1,684,428",864,"357,616",244,"1,381,347"
6000,WA,"9,309","3,932","9,262","769,179,530","7,604","214,007,341","5,137","7,310,690",451,"1,031,465","7,224","218,117,246",446,"2,213,481","8,213","674,539,350",959,"8,730,052",126,"1,741,298",200,"4,025,328",252,"1,401,552",139,"1,580,355",42,"598,351",78,"1,945,160","4,369","7,431,951",352,"1,604,424",909,"11,984,711",909,"5,135,070","9,268","789,539,432","1,336","3,246,713",723,"1,185,723","3,006","822,099",494,"1,249,258","4,066","4,570,934",203,"122,478",163,"835,615",102,"749,722","1,899","1,201,607","3,064","1,888,275","6,236","19,135,066","1,214","49,425,307",607,"5,681,831",4,"145,382",667,"25,355,078",291,"1,168,129",139,"4,841,819",5,"40,901",69,"725,453",348,"6,849,647",256,"2,143,504",462,"16,419,012",484,"24,859,804",449,"4,263,847",360,"1,200,596",355,"972,671","1,057","28,584,152",854,"15,246,988",457,"1,899,455","1,080","12,864,550",417,"6,001,622",669,"-7,428,463","1,086","-1,426,841",480,"687,896",57,"619,819",76,"1,863,675",477,"1,364,607",26,"803,742",451,"47,551,393",477,"48,356,495",437,"28,547,382",28,"300,539",463,"18,990,405",490,"19,266,969",306,"5,353,198",75,"161,083",89,"126,552","3,221","998,672",197,"80,785",223,"801,358"
6003,WA,"3,651","1,636","3,634","215,089,685","2,784","48,458,949","2,183","2,593,300",104,"120,914","2,639","49,896,292",201,"925,908","3,318","188,418,737",591,"2,386,591",39,"431,162",75,"768,179",167,"942,228",35,"420,814",13,"164,099",15,"619,633","1,902","2,495,536",132,"365,430",349,"4,002,681",349,"1,714,351","3,640","222,616,647",669,"1,538,451",343,"569,576","1,641","428,883",192,"510,823","1,805","1,938,091",77,"27,962",59,"173,229",48,"187,249",819,"338,796","1,278","481,033","2,714","7,143,853",205,"3,735,249",241,"4,368,678",3,"-9,229",230,"8,758,851",86,"584,294",72,"1,596,811",0,0,39,"356,768",107,"1,495,444",93,"424,381",135,"3,664,288",159,"3,413,446",108,"1,084,021",83,"237,297",93,"195,864",353,"8,038,202",308,"4,694,780",161,"497,477",356,"3,774,568",135,"1,604,815",225,"-2,533,438",360,"-928,623",173,"112,546",18,"5,585",30,"557,075",128,"386,568",8,"83,059",255,"14,772,942",263,"14,856,938",235,"8,214,270",10,"-89,446",263,"6,516,998",272,"6,427,552",168,"1,379,817",20,"77,589",18,"14,963","1,613","507,955",88,"35,989",90,"198,640"
6004,WA,"6,920","3,802","6,864","549,032,173","5,553","146,299,135","4,448","6,540,297",246,"460,279","5,293","149,609,260",322,"1,604,431","5,977","459,681,696",838,"8,520,287",124,"1,811,093",173,"4,160,087",194,"1,097,816",82,"873,616",45,"697,539",44,"1,635,483","3,995","8,108,667",408,"516,473","1,010","13,969,465","1,009","5,984,125","6,887","569,086,825","1,313","3,263,712",635,"904,583","2,691","678,437",441,"1,122,943","3,283","3,943,730",231,"122,535",191,"1,048,245",133,"592,794","1,918","1,194,208","2,732","1,854,405","5,184","18,259,115",691,"26,383,758",630,"7,716,984",15,"-173,680",625,"27,152,428",262,"4,046,679",118,"5,963,507",13,"756,832",67,"924,718",312,"6,536,693",281,"1,857,030",446,"18,432,126",564,"25,370,476",377,"5,193,273",270,"952,683",257,"1,154,026","1,078","29,323,001",896,"16,418,337",612,"2,805,853","1,078","14,157,063",377,"4,610,927",712,"-8,669,169","1,089","-4,058,242",386,"721,461",53,"315,356",91,"2,113,893",363,"1,194,874",28,"451,569",370,"68,420,332",398,"68,886,134",379,"54,777,739",37,"-505,885",397,"13,727,313",431,"13,212,824",243,"3,961,178",70,"227,294",72,"52,938","2,629","814,196",223,"93,813",204,"836,107"
6005,WA,"4,314","2,472","4,282","375,639,941","3,676","106,178,392","2,932","4,624,422",178,"276,930","3,529","109,112,888",252,"1,213,693","3,690","295,139,366",554,"7,837,046",74,"843,198",92,"2,065,577",169,"848,179",71,"747,847",12,"105,324",34,"1,316,603","2,384","4,908,396",222,"252,734",563,"13,213,224",559,"5,661,400","4,286","396,432,786",882,"2,079,056",424,"650,618","1,609","427,440",333,"853,218","2,044","3,245,430",115,"48,179",94,"919,627",69,"1,447,813","1,240","985,220","1,591","1,364,697","3,162","19,415,351",480,"20,117,319",344,"2,783,301",9,"-101,776",411,"22,210,722",193,"2,895,179",74,"3,290,107",8,"14,800",52,"589,848",182,"25,468,644",162,"9,028,471",264,"58,899,095",312,"11,102,594",241,"3,864,751",176,"761,228",180,"457,879",553,"17,794,259",476,"9,280,647",277,"1,257,360",562,"7,781,008",205,"3,798,970",362,"-4,323,726",567,"-524,756",239,"243,398",38,"248,556",46,"1,428,372",207,"5,917,893",19,"314,031",264,"39,217,823",284,"39,555,025",269,"34,201,485",24,"-47,772",282,"5,246,921",306,"5,202,200",172,"2,755,669",29,"122,126",40,"40,065","1,630","490,866",120,"48,977",112,"483,778"
6006,WA,"5,740","4,187","5,717","443,801,010","4,898","112,758,395","4,397","6,197,167",150,"189,823","4,640","115,905,904",322,"1,469,056","4,669","340,484,224",732,"3,894,722",89,"1,288,724",128,"2,879,799",274,"1,479,461",160,"1,809,598",38,"420,716",71,"2,060,877","3,494","7,007,145",490,"273,559","1,287","11,036,628","1,285","4,726,662","5,724","461,453,287","1,363","3,588,847",524,"719,058","2,134","507,204",291,"706,266","2,920","3,468,830",160,"60,025",169,"578,817",173,"838,875","2,071","1,415,298","2,502","1,145,289","4,625","16,856,353",453,"8,136,857",679,"7,348,855",6,"184,731",951,"39,402,245",405,"3,079,126",93,"3,265,582",7,"72,827",76,"782,097",366,"7,981,686",332,"2,372,629",532,"18,194,712",631,"15,087,487",408,"3,927,865",334,"1,677,877",324,"874,944","1,122","26,737,933",899,"14,083,911",490,"1,492,094","1,133","11,078,003",497,"6,256,838",643,"-6,172,913","1,140","83,925",443,"736,933",81,"450,866",115,"2,517,058",463,"1,183,050",33,"520,853",569,"78,439,095",600,"78,959,948",568,"55,678,537",40,"142,836",579,"22,663,993",616,"22,806,829",393,"6,705,343",69,"179,246",135,"169,658","2,385","730,483",244,"99,314",166,"690,999"
6007,WA,"4,980","3,611","4,939","438,983,537","4,250","120,479,030","3,713","5,989,751",131,"200,930","4,067","124,194,745",316,"1,567,211","4,102","329,119,307",618,"4,368,665",92,"965,358",121,"2,666,590",242,"1,395,095",110,"1,158,832",48,"741,316",57,"1,464,358","3,076","7,323,327",439,"456,424","1,154","11,706,071","1,144","5,011,431","4,953","456,255,369","1,157","2,963,590",489,"715,215","1,821","437,987",319,"964,111","2,589","3,633,115",163,"76,370",171,"527,304",159,"909,298","1,800","1,159,340","2,204","1,187,817","4,052","16,593,090",550,"12,005,979",573,"6,897,740",18,"-198,665",760,"34,298,231",385,"3,494,642",89,"4,429,031",7,"256,493",50,"335,089",321,"11,395,508",286,"4,151,008",473,"26,979,586",540,"19,275,109",397,"3,841,504",347,"1,928,549",314,"670,146",968,"24,989,777",814,"14,629,868",496,"1,641,521",986,"10,738,961",403,"4,907,875",585,"-6,928,448",988,"-2,020,573",397,"463,425",58,"313,116",115,"2,654,295",410,"1,314,242",16,"101,816",460,"65,798,130",477,"65,922,933",441,"33,934,723",20,"-153,333",466,"32,023,830",486,"31,840,706",328,"10,529,475",70,"194,953",65,"61,885","1,800","557,248",210,"81,868",148,"449,863"
6008,WA,"9,771","7,546","9,685","998,067,629","8,239","296,207,501","7,209","13,569,367",265,"460,412","7,799","303,105,838",549,"2,735,869","7,471","669,211,464","1,289","15,814,502",163,"2,629,874",170,"7,370,135",394,"2,179,686",272,"2,651,476",110,"1,971,875",185,"6,676,526","6,485","18,682,362","1,185","1,643,556","2,810","37,038,606","2,803","15,816,713","9,720","1,042,217,465","1,931","5,114,019",840,"1,700,589","2,571","652,334",441,"1,397,438","4,658","7,371,680",294,"155,370",383,"1,942,562",425,"3,002,357","3,502","4,316,901","4,167","3,561,168","7,817","41,895,439","1,212","34,088,713","1,328","22,173,362",60,"-243,946","2,077","129,703,417",962,"13,950,768",122,"6,071,141",19,"1,652,480",123,"1,658,611",848,"35,908,170",737,"13,261,469","1,291","84,553,121","1,475","71,365,426","1,134","11,489,525",905,"4,258,752",814,"2,381,543","2,048","55,429,425","1,568","30,581,841",925,"3,578,405","2,050","24,770,719",936,"11,533,131","1,122","-15,028,151","2,058","-3,495,020",912,"2,037,409",129,"1,334,482",345,"8,793,180",837,"3,388,944",46,"905,760",846,"268,830,480",887,"269,783,442",857,"211,431,772",77,"-1,624,360",889,"57,271,314",956,"55,620,149",620,"19,942,820",213,"784,732",218,"180,829","3,360","1,023,911",567,"229,906",249,"1,652,077"
6009,WA,"11,670","9,548","11,546","1,563,290,234","9,328","526,092,593","8,195","21,920,307",181,"417,877","8,726","538,878,532",450,"2,210,143","7,999","798,111,827","1,260","20,064,927",131,"3,129,872",138,"8,957,201",489,"2,769,261",303,"3,106,599",114,"2,840,970",238,"11,023,095","8,343","37,520,045","1,832","2,980,501","4,196","122,004,403","4,182","52,252,376","11,607","1,641,409,029","1,955","5,600,476",815,"2,041,225","2,039","448,332",371,"1,011,833","4,399","12,389,232",348,"188,311",589,"3,815,353",666,"5,856,302","3,945","6,466,287","4,944","8,897,492","8,775","73,576,039","1,211","42,205,445","1,719","33,630,903",160,"-3,036,110","3,587","284,202,996","1,796","41,456,798",127,"4,662,526",49,"3,577,394",128,"2,758,305","1,235","75,434,328","1,070","29,019,556","1,881","179,686,770","2,138","117,224,760","1,562","17,773,266","1,365","9,457,516","1,136","3,171,664","2,654","94,015,914","1,860","45,931,530","1,135","5,086,333","2,662","42,896,751","1,382","25,624,620","1,299","-25,523,320","2,681","101,300","1,282","4,270,135",211,"3,811,178",637,"19,903,823","1,001","6,603,222",84,"3,663,338","1,067","314,303,687","1,136","318,065,416","1,076","166,652,694",125,"-1,809,233","1,105","150,507,953","1,201","148,749,046",812,"57,076,838",297,"1,385,656",302,"291,749","3,582","1,145,081",754,"286,689",198,"1,564,112"
6010,WA,"10,912","9,116","10,786","1,210,237,226","8,991","375,685,013","7,822","16,427,108",197,"403,035","8,363","383,041,831",437,"2,037,478","7,376","688,435,316","1,338","14,128,206",126,"2,574,704",170,"8,325,509",374,"1,878,271",479,"4,656,712",143,"3,131,862",280,"12,448,913","7,574","31,194,199","1,547","2,240,594","3,787","76,188,048","3,782","32,639,110","10,840","1,269,891,317","2,061","5,938,446",719,"1,564,175","2,434","687,024",409,"1,013,919","4,388","7,303,148",372,"183,742",483,"3,107,359",558,"5,452,641","3,857","7,843,578","4,960","4,717,746","8,528","56,914,848","1,038","44,690,058","1,378","25,006,536",162,"645,718","3,160","219,395,299","1,621","34,277,715",109,"5,995,478",25,"1,331,161",131,"2,702,944","1,142","49,392,406",963,"17,900,893","1,796","118,514,664","2,028","111,976,052","1,481","13,616,219","1,218","4,953,378","1,075","2,435,497","2,230","64,318,794","1,624","35,269,851","1,039","4,231,815","2,241","28,873,405",995,"15,954,622","1,268","-20,010,899","2,263","-4,056,277","1,168","2,950,567",181,"1,444,680",517,"14,440,978",870,"4,281,151",86,"3,241,675",992,"243,221,364","1,064","246,483,887","1,002","166,599,633",111,"-845,877","1,025","78,097,510","1,112","77,260,769",678,"27,463,394",331,"1,430,088",310,"361,615","3,709","1,162,332",694,"270,218",227,"2,069,257"
6011,WA,"6,525","5,456","6,454","996,968,972","5,456","344,939,861","4,891","14,177,240",141,"292,685","5,153","353,055,135",271,"1,421,285","4,248","420,200,216",723,"6,904,468",68,"1,386,641",89,"7,095,047",241,"1,293,434",186,"1,832,276",105,"3,734,087",139,"8,172,145","4,579","26,040,665",883,"2,020,231","2,320","87,606,288","2,315","37,540,926","6,486","1,079,533,112","1,215","3,885,898",432,"1,063,598","1,358","366,152",286,"753,120","2,498","4,692,974",203,"97,766",319,"5,895,832",404,"4,175,139","2,215","16,964,127","2,916","10,840,816","5,065","78,937,295",630,"22,737,846",792,"14,472,375",147,"-1,551,434","2,196","247,009,918","1,182","41,685,646",80,"2,912,570",31,"2,908,660",106,"3,397,006",815,"96,125,814",710,"39,591,000","1,166","220,941,163","1,172","91,960,619",813,"16,868,147",716,"5,723,590",614,"2,304,772","1,324","43,181,071",956,"25,334,209",598,"2,727,075","1,327","20,005,038",642,"10,304,653",698,"-15,189,904","1,340","-4,885,251",804,"3,480,832",118,"1,060,288",401,"11,348,831",513,"5,783,735",46,"11,345,041",651,"177,463,219",691,"188,828,060",670,"107,344,719",77,"6,549,306",675,"71,584,542",735,"78,153,648",458,"26,680,820",191,"1,248,919",169,"185,118","2,003","639,074",423,"161,412",122,"971,873"
6012,WA,"5,828","4,583","5,773","721,919,467","4,797","236,608,080","4,255","10,206,832",124,"233,795","4,518","241,675,203",234,"1,127,094","4,253","365,689,830",684,"6,188,346",79,"1,067,065",103,"3,702,521",273,"1,474,715",158,"1,633,103",44,"1,812,045",88,"4,074,426","3,864","15,261,191",688,"2,005,721","1,652","71,405,182","1,650","30,597,946","5,794","761,619,527","1,091","3,016,064",449,"925,668","1,604","411,983",261,"721,195","2,448","4,383,429",153,"58,453",228,"3,534,009",232,"3,068,739","1,845","7,223,873","2,575","3,893,010","4,528","36,410,011",529,"16,058,677",717,"11,777,953",66,"528,998","1,467","136,287,247",758,"24,526,241",79,"3,472,558",14,"557,529",64,"2,753,449",564,"54,975,445",488,"22,626,076",797,"117,699,382",826,"62,981,654",649,"10,427,190",556,"5,808,503",495,"2,178,596","1,045","33,366,269",792,"18,443,275",460,"2,041,062","1,050","14,677,997",479,"7,613,760",583,"-9,409,825","1,062","-1,796,065",576,"2,254,388",73,"376,857",248,"7,084,636",439,"2,043,893",34,"4,570,481",481,"149,055,293",508,"154,439,666",507,"121,301,750",49,"25,536",505,"31,215,391",545,"31,232,894",319,"12,335,419",112,"632,694",123,"140,532","2,119","663,100",332,"134,872",142,"764,272"
